date,text
2021-08-17 12:02:54+00:00,new world record exact figure Swiss researcher hit 628 trillion figure using supercomputer
2021-08-16 12:03:34+00:00,Kabul airport chaos The Taliban charge Afghanistan prompting many try flee
2021-08-16 12:03:34+00:00,Rescuers hunting survivor Haitis earthquake killed 1297 The disaster compound huge problem facing impoverished nation
2021-08-16 12:03:34+00:00,Why effort convince antivaxxers failing Basically people find incredibly hard admit theyre wrong
2021-08-16 12:03:34+00:00,The case scrapping travel ban International travel rule currently ineffective illiberal often useless
2021-08-16 12:03:34+00:00,Scammers managed steal 400 billion covid benefit Experts say biggest fraud ever perpetrated
2021-08-16 12:03:34+00:00,The professor foresaw dark side internet Unfortunately one listened Philip Agres eerily prescient prediction 1990s
2021-08-16 12:03:34+00:00,The latest hot new trend Meeting online friend IRL weve discovered past year there something indefinably great human interaction
2021-08-16 12:03:34+00:00,Some remote worker secret two job The money incredible But stress
2021-08-16 12:03:34+00:00,How data science helped identify creepiest word Macbeth You wont able guess
2021-08-16 12:03:34+00:00,The crazy logistics Istanbul grand canal project There LOT could wrong
2021-08-13 12:04:06+00:00,The FDA approved third covid shot immunocompromised people Some people cancer HIV patient dont seem produce sufficient immune response two dos
2021-08-13 12:04:06+00:00,New research suggests hydrogen may pretty bad climate Its seen clean energy future extraction process emits vast amount carbon dioxide
2021-08-13 12:04:06+00:00,Incels keep trying take Reddits largest dating forum The moderator keeping nonsense bay deserve sort medal
2021-08-13 12:04:06+00:00,Inside Substacks risky global expansion Its going grapple threat press freedom ever
2021-08-13 12:04:06+00:00,Chinas tech industry huge sexism problem rape allegation Alibaba shone spotlight appalling condition woman Chinas tech giant
2021-08-13 12:04:06+00:00,How 36yearold billionaire took GameStop Audacious barely begin cover
2021-08-13 12:04:06+00:00,The dark side Instagrams craze cute hedgehog Theres practically way know adorable animal like online treated properly
2021-08-13 12:04:06+00:00,need work therapy part psychedelic therapy Its mostly done individual case group session
2021-08-13 12:04:06+00:00,Animal Crossing got kinda dark recently Out wholesome greenery zombie
2021-08-13 12:04:06+00:00,asteroid Bennu hit Earth wont AGES good Now worry about… stuff
2021-08-12 12:01:27+00:00,How coronavirus evolve This trillion dollar question Thankfully reason optimistic
2021-08-12 12:01:27+00:00,NASAs billion spacesuit program may delay 2024 moon goal Its starting look inevitable timetable slip potentially quite significantly
2021-08-12 12:01:27+00:00,addiction risk algorithm may worsening opioid crisis youre American probably one overdose risk score without even realizing
2021-08-12 12:01:27+00:00,seems Sicily hit hottestever temperature recorded Europe The measurement 11985°F awaiting verification
2021-08-12 12:01:27+00:00,Facebook failing Englands Black soccer player Its little stop racist abuse trying shift responsibility onto individual
2021-08-12 12:01:27+00:00,The hacker stole cryptocurrency given back 260 million Soz didnt really mean steal 600 million Lol Kthnxbi
2021-08-12 12:01:27+00:00,woman got write sister death Its deeply emotional experiment anything show limited technology still
2021-08-12 12:01:27+00:00,Instagrams creatives unhappy move video dont need another TikTok
2021-08-12 12:01:27+00:00,Hybrid office arrangement encourage clique The MondayWednesday tribe may never even need interact ThursdayFriday folk
2021-08-12 12:01:27+00:00,Why CAPTCHA picture just… deeply depressing They
2021-08-11 12:03:47+00:00,Florida become epicenter pandemic And instead responding crisis official squabbling data
2021-08-11 12:03:47+00:00,Hackers made 600 million cryptocurrency This must one biggest heist kind ever enabled vulnerability blockchain site Poly Network
2021-08-11 12:03:47+00:00,Chameleoninspired robot skin change color instantly What fabulous invention
2021-08-11 12:03:47+00:00,Inside White HouseFacebook fight vaccine misinformation Yet clear Facebook either doesnt know wont reveal size problem
2021-08-11 12:03:47+00:00,Why tech illustration boring You may not heard corporate memphis youve almost certainly seen
2021-08-11 12:03:47+00:00,Google might cut pay worker want stay remote Anyone affected whod like argue back might want point latest financial result
2021-08-11 12:03:47+00:00,What second earthquake hit Early warning system vastly improved The question information provide
2021-08-11 12:03:47+00:00,Meet people share financial transaction openly online Its voyeur end confuse Why Who even time
2021-08-11 12:03:47+00:00,One man yearlong quest get Indian driver license There thing frustrating technology simply not work
2021-08-11 12:03:47+00:00,Rickrolling never get old Rick Astleys Never Gonna Give You surpassed billion view YouTube Well done everyone
2021-08-10 12:03:10+00:00,dont act stop climate change never Amid flood fire extreme heat many reaching personal tipping point
2021-08-10 12:03:10+00:00,military personnel required get vaccinated covid19 The rule expected come time next month
2021-08-10 12:03:10+00:00,new generation AIpowered robot taking warehouse The big question whether augment replace people work currently
