Date,Title,Subtitle,Source
2021-07-16 12:07:16+00:00,The history of Black Twitter,"Lifting the lid on one of the most creative and vibrant corners of Twitter, and indeed the whole internet.",Wired
2021-07-16 12:07:16+00:00,How many numbers exist? We might know one day,"For years, mathematicians have said it's unknowable. A new proof suggests otherwise.",Quanta
2021-07-16 12:07:16+00:00,You should use emojis at work ,A well-placed emoji can save you a whole lot of words.,NPR
2021-07-15 12:07:24+00:00,Pfizer wants to give you a booster shot—but experts say it’s too soon,Those vaccines should be going to older adults in poor countries who haven’t yet received their first dose.,TR
2021-07-15 12:07:24+00:00,AI needs to learn to grasp analogies,"Until it does, it can't be truly intelligent.",Quanta
2021-07-15 12:07:24+00:00,"If you find an online security issue in China, you'll have to report it to the government",This looks like yet another power grab by Beijing.,NBC
2021-07-15 12:07:24+00:00,A brain implant enabled a paralyzed man to speak 🧠,For the first time since a car crash in 2003. Simply amazing.,NYT
2021-07-15 12:07:24+00:00,Phone hacking tech is having a chilling effect on journalism,"Oppressive governments are increasingly turning to tools like those sold by Cellebrite, an Israeli surveillance firm.",The Daily Beast
2021-07-15 12:07:24+00:00,"A ""green"" pandemic recovery looks unlikely",Trillions of dollars poured into rescuing economies have been spent in ways that worsen the climate crisis.,The Guardian
2021-07-15 12:07:24+00:00,Is social media making us more tactful?,Probably not. But maybe it's helping to make (some of) us more empathetic.,Wired
2021-07-15 12:07:24+00:00,Women are much more likely to have autoimmune diseases,"Sometimes by a factor of 16 or more, yet we remain largely ignorant about the causes. ",Nature
2021-07-15 12:07:24+00:00,Can we trust Netblocks?,It's informed us of virtually every internet shutdown for years. But who monitors the internet monitors?,Wired UK
2021-07-15 12:07:24+00:00,"The concept of ""cool"" needs updating ",Maybe it's time to throw the whole thing in the trash.,Vox
2021-07-14 12:07:59+00:00,The cost of hygiene theater 🧽,"Obsessing over cleaning can—and does—distract us from things that actually matter, like masks and ventilation.",The Guardian
2021-07-14 12:07:59+00:00,Remote work is a blessing and a curse for women,"They're more likely to want to work from home, yet have a harder time doing so, because they're burdened with most of the housework.",Recode
2021-07-14 12:07:59+00:00,Cuba shows social media blackouts are an increasingly common tactic,The latest events reflect an alarming new normal.,Wired
2021-07-14 12:07:59+00:00,Reminder: the climate crisis does not affect us all equally,"Richer, whiter neighborhoods are dodging some of the worst impacts.",Axios
2021-07-14 12:07:59+00:00,Vaccine misinformation keeps going viral on TikTok,The use of audio clips to dodge bans is a particular problem.,NBC
2021-07-14 12:07:59+00:00,This robot keeps getting fired 🤖,"The gap between our expectations of what we think these things can do, and what they actually can do, remains large.",WSJ
2021-07-14 12:07:59+00:00,Inside Facebook's data transparency wars,The story of CrowdTangle shows how Facebook’s obsession with reputation management gets in the way of its attempts to clean up its platform,NYT
2021-07-14 12:07:59+00:00,"Shein is the future of fast fashion, for better or worse ","When you see production this fast and products this cheap, someone somewhere has to be paying the price for it.",Vox
2021-07-14 12:07:59+00:00,How maps and ocean sensors helped with investigating a missing woman mystery,"Her son was rescued, but her whereabouts remain unknown.",Wired
2021-07-14 12:07:59+00:00,Why we just can't help seeing faces in inanimate objects,Our brains are wired that way.,Ars Technica
2021-07-13 12:07:42+00:00,We're inching closer to breathalyzers for covid,"No more tear-inducing sticks up noses, hopefully.",NYT
2021-07-13 12:07:42+00:00,"Israel has become the first country to approve third ""booster"" shots",For immunocompromised adults.,Times of Israel
2021-07-13 12:07:42+00:00,England's soccer players are being racially abused online,Truly awful.,Vice
2021-07-13 12:07:42+00:00,Drought is stressing California’s power grid,A vital clean energy source is running dry.,The Verge
2021-07-13 12:07:42+00:00,The pandemic is forcing us to rethink the causes of asthma attacks,"Attacks plummeted in the last year, which suggests viruses and colds play a much bigger role than environmental factors.",The Atlantic
2021-07-13 12:07:42+00:00,What's the best day to go into the office?,There is no one-size-fits-all answer.,Wired UK
2021-07-13 12:07:42+00:00,Facebook wants to lure creators. Good luck.,TikTok and YouTube got there first.,NYT
2021-07-13 12:07:42+00:00,"Elon Musk ""rather hates"" running Tesla","Well, that explains quite a lot.",BBC
2021-07-13 12:07:42+00:00,Amazon wants to watch you sleep ,No thanks.,Gizmodo
2021-07-13 12:07:42+00:00,"Stop doomscrolling, start gaming ",One is way better than the other for your mental health.,Wired
2021-07-12 12:07:58+00:00,How effective are covid-19 vaccines against the Delta variant?,They're keeping people out of hospital. But it's less clear how good they are at preventing infection and transmission.,FT
2021-07-12 12:07:58+00:00,How hot is too hot for the human body? ️,"Things become much more difficult above 35°C, or around 95°F.",TR
2021-07-12 12:07:58+00:00,Venture capitalists have their sights set on online content creators,"Or more specifically, the tools and platforms they're using.",NYT
2021-07-12 12:07:58+00:00,Why the grid is finally ready for fleets of electric trucks ,Though longer trips still pose a challenge.,TR
2021-07-12 12:07:58+00:00,This robot adapts to avoid stumbling 🤖,Adjusting gait for different terrains is easy enough for humans—but extremely challenging for robots.,TechCrunch
2021-07-12 12:07:58+00:00,How a ransomware attack works,"This breaks the anatomy of these hacks down, step by step.",WP
2021-07-12 12:07:58+00:00,Amazon is pulling brands from its store—and consumers suffer as a result,There has to be a better way of dealing with its fake review problem.,The Verge
2021-07-12 12:07:58+00:00,How to make working remotely work,"Out with surveillance and visible busyness, in with defined outcomes and trust.",New Yorker
2021-07-12 12:07:58+00:00,In defense of Twitter,"Yes, it can be awful. But it can be wonderful, too.",FT
2021-07-12 12:07:58+00:00,Bendable ice is a thing that exists 🧊,And it's blowing my mind.,Gizmodo
